Name,Location,Start date,End date,Type,Format,Rounds,URL,Special,Continent,Category,Live games,Prize Fund,Description,Venue,Landing,Players
2025 Pan-American Intercollegiate Team Championship - Open,Charlotte - USA,January 2,January 5,Teams,Classical,,https://events.charlottechesscenter.org/collegiate/standings,,North America,,,,,,,"Carissa Yip, Awonder Liang, Aryan Tari"
European Women's Blitz Championship,Monaco,January 10,January 10,Continental,Blitz,11,https://www.europechess.org/european-womens-rapid-and-blitz-chess-champions-2024-crowned-in-monaco/,,Europe,Women,,,,,,"Alexandra Kosteniuk, Antonaneta Stevanofa, Ana Matnadze, Meri Arabidze, Dinara Wagner, Sarasadat Khademalsharieh, Elisabeth Paehtz, Bella Khotenashvili, Mai Narva, Anna Ushenina, Yuliia Osmak, Aleksandra Maltsevskaya, Eline Roebers, Teodora Injac, Nino Batiashvili, Pia Cramling"
50th Seville Open,Seville - Spain,January 10,January 18,Swiss,Classical,,https://www.chess.com/events/2025-seville-open/results,,Europe,,,,,,,Song Yuxin
European Women's Rapid Championship,Monaco,January 11,January 12,Continental,Rapid,11,https://www.europechess.org/european-womens-rapid-and-blitz-chess-champions-2024-crowned-in-monaco/,,Europe,Women,,,,,,"Alexandra Kosteniuk, Antonaneta Stevanofa, Ana Matnadze, Meri Arabidze, Dinara Wagner, Sarasadat Khademalsharieh, Elisabeth Paehtz, Bella Khotenashvili, Mai Narva, Anna Ushenina, Yuliia Osmak, Aleksandra Maltsevskaya, Eline Roebers, Teodora Injac, Nino Batiashvili, Pia Cramling"
Bundesliga Rounds 5-6,Germany,January 11,January 12,Teams,Classical,,https://schachbundesliga.de/ansetzungen/2024/BL,,Europe,,,,,,,"Nils Grandelius, Frederik Svane, Rasmus Svane, Leon Luke Mendonca, Magnus Carlsen, David W L Howell, Johan-Sebastian Christiansen, Jonas Buhl Bjerre, Marc' Andria Maurizzi, Yi Wei, Anish Giri,Javokhir Sindarov, Jorden van Foreest, Andrey Esipenko, Raunak Sadhwani, Jan Gustafsson, Velimir Ivic, Luke McShane, Nodirbek Abdusattorov, Jan-Krzysztof Duda, Shakhriyar Mamedyarov, Parham Maghsoodloo, Alexey Sarana, Chitharambaram VR. Aravindh, David Anton Guijarro, Anton Korobov, Alireza Firouzja, Levon Aronian, Vincent Keymer, Maxime Vachier-Lagrave, Richard Rapport, Peter Svidler, Rustam Kasimdzhanov, Bogdan-Daniel Deac, M. Amin Tabatabaei, Vladimir Fedoseev, Jaime Santos Latasa, S L Narayanan, Aleksandar Indjic, "
Spanish Team Championship Honor Division,Spain,January 11,January 11,Teams,Classical,,https://chess-results.com/tnr1093307.aspx?lan=1&art=16&turdet=YES&flag=30,,Europe,,,,,,,
34th Annual North American Open,New York - USA,January 16,January 20,RR,Classical,,,,North America,,,,,,,"Rose Atwell, Levy Rozman"
Tata Steel Chess 2025 - Challengers,Wijk aan Zee - Netherlands,January 17,February 2,RR,Classical,13,https://calendar.chessdom.com/tata-steel-challengers-2025/,yes,Europe,,,,,,,"Miaoyi Lu, Nodirbek Yakubboev, Kazybek Nogerbek, Faustino Oro, Rameshbabu Vaishali, Erwin l'Ami, Frederik Svane, Ediz Gurel, Irina Bulmaga, Aydin Suleymanli, Benjamin Bok, Thai Dai Van Nguyen, Arthur Pijpers, Divya Deshmukh"
Tata Steel Chess 2025 - Masters,Wijk aan Zee - Netherlands,January 17,February 2,RR,Classical,13,https://calendar.chessdom.com/tata-steel-masters-2025/,yes,Europe,,,,,,,"Praggnanandhaa R, Gukesh D, Nodirbek Abdusattorov, Vladimir Fedoseev, Anish Giri, Wei Yi, Pentala Harikrishna, Vincent Keymer, Fabiano Caruana, Erigaisi Arjun, Jorden van Foreest, Alexey Sarana, Leon Luke Mendonca, Max Warmerdam"
3rd Annual Newcomb Memorial Tournament,Philadelphia - USA,January 17,January 20,Open,Classical,,https://ratings.fide.com/report.phtml?event=398999&t=0,,North America,,,,,,,Awonder Liang
